Image,Point,Latitude,Longitude,Object Type,Coordinates,Probability,Bounding Box Center,Normalized Bounding Box Center
/content/tif_images/image_245.tif,0,36.229986582,36.109667943,collapsed,"[563.797119140625, 155.25714111328125, 640.0, 253.966064453125]",0.5354701280593872,"[601.8985595703125, 204.61160278320312]","[0.9404664993286133, 0.3197056293487549]"
/content/tif_images/image_588.tif,24,36.210206693,36.150565426,collapsed,"[249.52023315429688, 40.86787796020508, 317.9576110839844, 118.33140563964844]",0.5073415637016296,"[283.7389221191406, 79.59964179992676]","[0.4433420658111572, 0.12437444031238556]"
/content/tif_images/image_706.tif,3,36.199775067,36.113964177,collapsed,"[235.84957885742188, 316.32110595703125, 312.5774230957031, 407.66168212890625]",0.3295393884181976,"[274.2135009765625, 361.99139404296875]","[0.42845859527587893, 0.5656115531921386]"
/content/tif_images/image_169.tif,6,36.235796767,36.11968487,collapsed,"[382.1126708984375, 59.837947845458984, 453.59100341796875, 145.1668701171875]",0.2817692756652832,"[417.8518371582031, 102.50240898132324]","[0.6528934955596923, 0.16016001403331756]"
/content/tif_images/image_618.tif,1,36.208135809,36.157929402,collapsed,"[460.58514404296875, 215.53884887695312, 559.52001953125, 293.7548828125]",0.8034641742706299,"[510.0525817871094, 254.64686584472656]","[0.7969571590423584, 0.39788572788238524]"
/content/tif_images/image_618.tif,20,36.2072177,36.157705769,collapsed,"[404.47869873046875, 560.7032470703125, 487.4930419921875, 637.0379638671875]",0.3431318998336792,"[445.9858703613281, 598.87060546875]","[0.6968529224395752, 0.9357353210449219]"
/content/tif_images/image_385.tif,0,36.22189648,36.118941517,collapsed,"[0.0, 0.44598388671875, 114.2645492553711, 77.97465515136719]",0.2756724953651428,"[57.13227462768555, 39.21031951904297]","[0.08926917910575867, 0.06126612424850464]"
/content/tif_images/image_351.tif,3,36.225589117,36.162541077,collapsed,"[108.61165618896484, 287.69384765625, 187.65451049804688, 437.3270263671875]",0.4888350069522857,"[148.13308334350586, 362.51043701171875]","[0.2314579427242279, 0.5664225578308105]"
/content/tif_images/image_351.tif,5,36.226419273,36.162975936,collapsed,"[220.569580078125, 0.0, 324.85467529296875, 102.52501678466797]",0.3867042958736419,"[272.7121276855469, 51.262508392333984]","[0.426112699508667, 0.08009766936302185]"
/content/tif_images/image_351.tif,7,36.226458836,36.162970965,collapsed,"[219.4051055908203, 0.05374908447265625, 323.17108154296875, 72.80513000488281]",0.2896143496036529,"[271.28809356689453, 36.429439544677734]","[0.4238876461982727, 0.05692099928855896]"
/content/tif_images/image_351.tif,8,36.225578727,36.162568603,collapsed,"[103.21417236328125, 299.96258544921875, 208.82339477539062, 432.84869384765625]",0.2678132057189941,"[156.01878356933594, 366.4056396484375]","[0.2437793493270874, 0.5725088119506836]"
/content/tif_images/image_331.tif,3,36.22452513,36.119784917,collapsed,"[290.49066162109375, 306.123291015625, 380.67437744140625, 438.81988525390625]",0.4271467626094818,"[335.58251953125, 372.4715881347656]","[0.5243476867675781, 0.5819868564605712]"
/content/tif_images/image_324.tif,12,36.227846849,36.163970025,collapsed,"[525.5676879882812, 130.3620147705078, 625.5297241210938, 220.6829376220703]",0.397975206375122,"[575.5487060546875, 175.52247619628906]","[0.8992948532104492, 0.2742538690567017]"
/content/tif_images/image_324.tif,14,36.227228045,36.163082531,collapsed,"[255.1085968017578, 334.41302490234375, 387.48724365234375, 480.64404296875]",0.2930244207382202,"[321.2979202270508, 407.5285339355469]","[0.5020280003547668, 0.636763334274292]"
/content/tif_images/image_432.tif,4,36.220084593,36.162984797,collapsed,"[180.294189453125, 384.28759765625, 260.7710266113281, 512.0922241210938]",0.3116776347160339,"[220.53260803222656, 448.1899108886719]","[0.344582200050354, 0.7002967357635498]"
/content/tif_images/image_290.tif,16,36.229629013,36.14883026,collapsed,"[578.90478515625, 0.02489471435546875, 639.964599609375, 62.20301055908203]",0.3871033191680908,"[609.4346923828125, 31.11395263671875]","[0.9522417068481446, 0.048615550994873045]"
/content/tif_images/image_290.tif,19,36.229630973,36.148860739,collapsed,"[596.3409423828125, 0.0, 639.9837646484375, 60.75844955444336]",0.3439145386219024,"[618.162353515625, 30.37922477722168]","[0.965878677368164, 0.047467538714408876]"
/content/tif_images/image_290.tif,20,36.22962323,36.148784733,collapsed,"[552.795654296875, 0.0, 640.0, 66.56458282470703]",0.2867710292339325,"[596.3978271484375, 33.282291412353516]","[0.9318716049194335, 0.05200358033180237]"
/content/tif_images/image_616.tif,0,36.208277732,36.153796823,collapsed,"[527.3867797851562, 122.0100326538086, 611.5629272460938, 203.62765502929688]",0.8068757653236389,"[569.474853515625, 162.81884384155273]","[0.889804458618164, 0.25440444350242614]"
/content/tif_images/image_616.tif,2,36.208258616,36.153405086,collapsed,"[414.06427001953125, 128.58297729492188, 500.4344482421875, 211.38845825195312]",0.7571513652801514,"[457.2493591308594, 169.9857177734375]","[0.7144521236419678, 0.26560268402099607]"
/content/tif_images/image_616.tif,4,36.20744558,36.152697304,collapsed,"[215.16119384765625, 429.399169921875, 293.8044128417969, 520.2301025390625]",0.7346188426017761,"[254.48280334472656, 474.81463623046875]","[0.39762938022613525, 0.7418978691101075]"
/content/tif_images/image_616.tif,5,36.207953242,36.153531116,collapsed,"[451.19720458984375, 245.945556640625, 535.5118408203125, 323.01177978515625]",0.7172537446022034,"[493.3545227050781, 284.4786682128906]","[0.7708664417266846, 0.4444979190826416]"
/content/tif_images/image_616.tif,7,36.207132498,36.152310043,collapsed,"[99.71571350097656, 558.3509521484375, 187.36366271972656, 626.0443115234375]",0.7155872583389282,"[143.53968811035156, 592.1976318359375]","[0.2242807626724243, 0.9253087997436523]"
/content/tif_images/image_616.tif,10,36.207213726,36.152604059,collapsed,"[197.63946533203125, 528.7166137695312, 257.900390625, 594.7691040039062]",0.6894701719284058,"[227.76992797851562, 561.7428588867188]","[0.35589051246643066, 0.877723217010498]"
/content/tif_images/image_616.tif,11,36.207291513,36.153641646,collapsed,"[463.2359619140625, 470.40606689453125, 586.8031005859375, 594.7511596679688]",0.6163009405136108,"[525.01953125, 532.57861328125]","[0.820343017578125, 0.8321540832519532]"
/content/tif_images/image_616.tif,17,36.20858931,36.153788554,collapsed,"[523.6820678710938, 3.0385284423828125, 610.5296020507812, 88.9609375]",0.2927931249141693,"[567.1058349609375, 45.999732971191406]","[0.8861028671264648, 0.07187458276748657]"
/content/tif_images/image_291.tif,16,36.228620176,36.150560082,collapsed,"[420.97564697265625, 383.41619873046875, 545.6605834960938, 474.2841796875]",0.504822850227356,"[483.318115234375, 428.8501892089844]","[0.755184555053711, 0.6700784206390381]"
/content/tif_images/image_199.tif,2,36.233352915,36.124952849,collapsed,"[0.19748687744140625, 364.953125, 86.19468688964844, 471.687744140625]",0.2597451210021972,"[43.19608688354492, 418.3204345703125]","[0.06749388575553894, 0.6536256790161132]"
/content/tif_images/image_485.tif,5,36.217199094,36.160904279,collapsed,"[158.94662475585938, 155.58041381835938, 260.6225280761719, 228.27395629882812]",0.7488276362419128,"[209.78457641601562, 191.92718505859375]","[0.3277884006500244, 0.29988622665405273]"
/content/tif_images/image_485.tif,8,36.216931036,36.160810163,collapsed,"[136.61700439453125, 247.45501708984375, 229.02703857421875, 337.40362548828125]",0.7146132588386536,"[182.822021484375, 292.4293212890625]","[0.2856594085693359, 0.45692081451416017]"
/content/tif_images/image_485.tif,13,36.217624916,36.160381539,collapsed,"[27.197006225585938, 4.294837951660156, 92.861328125, 60.255706787109375]",0.4242736101150512,"[60.02916717529297, 32.275272369384766]","[0.09379557371139527, 0.0504301130771637]"
/content/tif_images/image_590.tif,20,36.209167631,36.155908361,collapsed,"[542.4388427734375, 480.4603271484375, 599.6219482421875, 535.118408203125]",0.6060056090354919,"[571.0303955078125, 507.78936767578125]","[0.892234992980957, 0.7934208869934082]"
/content/tif_images/image_590.tif,22,36.209628638,36.154805628,collapsed,"[228.82015991210938, 304.15728759765625, 281.1320495605469, 365.733642578125]",0.5678423047065735,"[254.97610473632812, 334.9454650878906]","[0.3984001636505127, 0.5233522891998291]"
/content/tif_images/image_590.tif,26,36.208983853,36.154595267,collapsed,"[141.21417236328125, 530.302490234375, 248.1553955078125, 623.082275390625]",0.5316278338432312,"[194.68478393554688, 576.6923828125]","[0.304194974899292, 0.9010818481445313]"
/content/tif_images/image_590.tif,27,36.208990704,36.155907264,collapsed,"[540.3099975585938, 548.6280517578125, 601.1220092773438, 599.6195068359375]",0.4865618348121643,"[570.7160034179688, 574.123779296875]","[0.8917437553405761, 0.8970684051513672]"
/content/tif_images/image_590.tif,28,36.209637948,36.155050023,collapsed,"[298.9666748046875, 306.24139404296875, 351.07763671875, 356.66802978515625]",0.4810388684272766,"[325.02215576171875, 331.4547119140625]","[0.5078471183776856, 0.5178979873657227]"
/content/tif_images/image_590.tif,29,36.209357428,36.155886755,collapsed,"[538.3367919921875, 405.5552978515625, 591.3389892578125, 467.70306396484375]",0.438467800617218,"[564.837890625, 436.6291809082031]","[0.8825592041015625, 0.6822330951690674]"
/content/tif_images/image_590.tif,31,36.20898871,36.153977236,collapsed,"[0.0, 527.5313720703125, 35.101715087890625, 622.2115478515625]",0.3730267584323883,"[17.550857543945312, 574.8714599609375]","[0.02742321491241455, 0.8982366561889649]"
/content/tif_images/image_590.tif,33,36.209366516,36.156090439,collapsed,"[606.431396484375, 399.89471435546875, 640.0, 466.54888916015625]",0.3329751491546631,"[623.2156982421875, 433.2218017578125]","[0.973774528503418, 0.676909065246582]"
/content/tif_images/image_590.tif,34,36.210311534,36.154133093,collapsed,"[30.656455993652344, 49.84858322143555, 93.78544616699219, 107.96986389160156]",0.3207703828811645,"[62.220951080322266, 78.90922355651855]","[0.09722023606300353, 0.12329566180706024]"
/content/tif_images/image_590.tif,35,36.209183911,36.156103752,collapsed,"[614.0628662109375, 471.28997802734375, 640.0, 532.0805053710938]",0.3122870326042175,"[627.0314331054688, 501.68524169921875]","[0.979736614227295, 0.7838831901550293]"
/content/tif_images/image_590.tif,36,36.210324929,36.155228565,collapsed,"[343.57476806640625, 38.67333984375, 408.81341552734375, 109.10092163085938]",0.3088085055351257,"[376.194091796875, 73.88713073730469]","[0.5878032684326172, 0.11544864177703858]"
/content/tif_images/image_590.tif,37,36.209144151,36.154942592,collapsed,"[263.8573303222656, 488.7301025390625, 324.6056213378906, 544.4552001953125]",0.3038534224033355,"[294.2314758300781, 516.5926513671875]","[0.45973668098449705, 0.8071760177612305]"
/content/tif_images/image_590.tif,38,36.209247418,36.154507799,collapsed,"[109.54397583007812, 433.7633056640625, 229.6871337890625, 521.9867553710938]",0.2562984824180603,"[169.6155548095703, 477.8750305175781]","[0.2650243043899536, 0.7466797351837158]"
/content/tif_images/image_493.tif,1,36.214854393,36.120341377,collapsed,"[335.30291748046875, 1.31451416015625, 432.91290283203125, 82.42373657226562]",0.4952605366706848,"[384.10791015625, 41.86912536621094]","[0.6001686096191406, 0.06542050838470459]"
/content/tif_images/image_493.tif,4,36.214735277,36.120964164,collapsed,"[524.0020141601562, 47.39728546142578, 600.8883666992188, 125.71227264404297]",0.305117517709732,"[562.4451904296875, 86.55477905273438]","[0.8788206100463867, 0.13524184226989747]"
/content/tif_images/image_493.tif,5,36.214366781,36.119851259,collapsed,"[180.5164794921875, 148.1171875, 307.00537109375, 301.472412109375]",0.2777190208435058,"[243.76092529296875, 224.7947998046875]","[0.3808764457702637, 0.3512418746948242]"
/content/tif_images/image_592.tif,5,36.209541087,36.160240033,collapsed,"[535.409423828125, 375.85430908203125, 601.36865234375, 436.92205810546875]",0.5442947745323181,"[568.3890380859375, 406.38818359375]","[0.8881078720092773, 0.6349815368652344]"
/content/tif_images/image_592.tif,6,36.209354405,36.15981582,collapsed,"[406.26202392578125, 439.307861328125, 487.45751953125, 513.4521484375]",0.5299702286720276,"[446.8597717285156, 476.3800048828125]","[0.6982183933258057, 0.7443437576293945]"
/content/tif_images/image_592.tif,7,36.20974497,36.160261223,collapsed,"[542.4881591796875, 296.9210205078125, 606.43115234375, 362.97235107421875]",0.4439095258712768,"[574.4596557617188, 329.9466857910156]","[0.8975932121276855, 0.5155416965484619]"
/content/tif_images/image_592.tif,8,36.210204898,36.160346221,collapsed,"[559.1219482421875, 124.49522399902344, 638.4981689453125, 190.5199737548828]",0.2702935039997101,"[598.81005859375, 157.50759887695312]","[0.9356407165527344, 0.24610562324523927]"
/content/tif_images/image_592.tif,9,36.21001789,36.160319671,collapsed,"[559.5081787109375, 191.49072265625, 622.8997802734375, 263.7528076171875]",0.250500738620758,"[591.2039794921875, 227.62176513671875]","[0.923756217956543, 0.35565900802612305]"
/content/tif_images/image_224.tif,1,36.230959041,36.120691565,collapsed,"[0.5001068115234375, 595.1121826171875, 94.89291381835938, 639.8392333984375]",0.4356076121330261,"[47.696510314941406, 617.4757080078125]","[0.07452579736709594, 0.964805793762207]"
/content/tif_images/image_377.tif,3,36.223796161,36.160863647,collapsed,"[216.1824188232422, 297.98565673828125, 326.21173095703125, 414.25482177734375]",0.4963229298591614,"[271.1970748901367, 356.1202392578125]","[0.4237454295158386, 0.556437873840332]"
/content/tif_images/image_256.tif,2,36.230849087,36.131678792,collapsed,"[15.771129608154297, 39.291934967041016, 119.26853942871094, 154.2186279296875]",0.2844162285327911,"[67.51983451843262, 96.75528144836426]","[0.10549974143505096, 0.15118012726306915]"
/content/tif_images/image_56.tif,0,36.241767968,36.108284214,collapsed,"[256.57745361328125, 334.9075927734375, 414.4571533203125, 470.930908203125]",0.2970030903816223,"[335.5173034667969, 402.91925048828125]","[0.5242457866668702, 0.6295613288879395]"
/content/tif_images/image_56.tif,2,36.241891972,36.107356663,collapsed,"[7.379550933837891, 313.5625, 132.67807006835938, 399.2371826171875]",0.2637088298797607,"[70.02881050109863, 356.39984130859375]","[0.10942001640796661, 0.5568747520446777]"
/content/tif_images/image_512.tif,0,36.214792921,36.160872798,collapsed,"[128.14175415039062, 390.9888916015625, 237.29315185546875, 478.9005126953125]",0.8579926490783691,"[182.7174530029297, 434.9447021484375]","[0.28549602031707766, 0.6796010971069336]"
/content/tif_images/image_512.tif,3,36.214707284,36.161245728,collapsed,"[251.53500366210938, 425.23480224609375, 327.5752258300781, 508.87005615234375]",0.7361302375793457,"[289.55511474609375, 467.05242919921875]","[0.45242986679077146, 0.7297694206237793]"
/content/tif_images/image_512.tif,4,36.215085781,36.160941251,collapsed,"[149.128662109375, 280.3985595703125, 255.527099609375, 369.888916015625]",0.5810442566871643,"[202.327880859375, 325.14373779296875]","[0.31613731384277344, 0.5080370903015137]"
/content/tif_images/image_512.tif,6,36.214510766,36.16079404,collapsed,"[107.37408447265625, 502.53985595703125, 212.935546875, 578.9246215820312]",0.4601334929466247,"[160.15481567382812, 540.7322387695312]","[0.25024189949035647, 0.8448941230773925]"
/content/tif_images/image_328.tif,0,36.224084751,36.112537249,collapsed,"[66.49507141113281, 421.009521484375, 183.3480224609375, 536.5511474609375]",0.2976748645305633,"[124.92154693603516, 478.78033447265625]","[0.19518991708755493, 0.7480942726135253]"
/content/tif_images/image_272.tif,0,36.228554238,36.108454799,collapsed,"[183.45565795898438, 48.700157165527344, 288.3398132324219, 115.43567657470703]",0.6801549792289734,"[235.89773559570312, 82.06791687011719]","[0.3685902118682861, 0.12823112010955812]"
/content/tif_images/image_272.tif,1,36.227794018,36.10898596,collapsed,"[348.2928771972656, 326.5789794921875, 427.7023620605469, 407.944091796875]",0.6620538830757141,"[387.99761962890625, 367.26153564453125]","[0.6062462806701661, 0.5738461494445801]"
/content/tif_images/image_647.tif,11,36.20577486,36.161114677,collapsed,"[122.75906372070312, 473.2119140625, 199.06149291992188, 564.690673828125]",0.6617830991744995,"[160.9102783203125, 518.9512939453125]","[0.2514223098754883, 0.8108613967895508]"
/content/tif_images/image_647.tif,17,36.206031026,36.161121172,collapsed,"[115.44229888916016, 387.3612060546875, 210.09915161132812, 458.454345703125]",0.5530140399932861,"[162.77072525024414, 422.90777587890625]","[0.2543292582035065, 0.660793399810791]"
/content/tif_images/image_647.tif,19,36.206012879,36.160785384,collapsed,"[30.208599090576172, 395.6656494140625, 102.93916320800781, 463.75732421875]",0.5016562938690186,"[66.57388114929199, 429.71148681640625]","[0.10402168929576874, 0.6714241981506348]"
/content/tif_images/image_647.tif,24,36.206250422,36.160943817,collapsed,"[88.43150329589844, 316.0794677734375, 135.49244689941406, 365.2213134765625]",0.2789704799652099,"[111.96197509765625, 340.650390625]","[0.1749405860900879, 0.5322662353515625]"
/content/tif_images/image_647.tif,25,36.206026064,36.161044807,collapsed,"[76.36845397949219, 390.877685546875, 205.4190216064453, 458.65863037109375]",0.2710311710834503,"[140.89373779296875, 424.7681579589844]","[0.22014646530151366, 0.6637002468109131]"
/content/tif_images/image_615.tif,13,36.208217172,36.150235253,collapsed,"[132.0037384033203, 118.0596923828125, 209.62733459472656, 213.99679565429688]",0.5335480570793152,"[170.81553649902344, 166.0282440185547]","[0.2668992757797241, 0.2594191312789917]"
/content/tif_images/image_615.tif,14,36.208056866,36.150527462,collapsed,"[219.85952758789062, 176.34259033203125, 289.1968078613281, 275.91943359375]",0.5327901244163513,"[254.52816772460938, 226.13101196289062]","[0.39770026206970216, 0.3533297061920166]"
/content/tif_images/image_535.tif,11,36.213852334,36.153723466,collapsed,"[566.3548583984375, 4.4521026611328125, 640.0, 97.2777099609375]",0.6031073331832886,"[603.1774291992188, 50.864906311035156]","[0.9424647331237793, 0.07947641611099243]"
/content/tif_images/image_535.tif,14,36.213742741,36.153383593,collapsed,"[457.46441650390625, 46.82545471191406, 554.1555786132812, 137.08291625976562]",0.5801025629043579,"[505.80999755859375, 91.95418548583984]","[0.7903281211853027, 0.14367841482162474]"
